Date/Time,Gas:Facility [J](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Gas [J](Hourly) 
 01/12  12:00:00,135522306.201566,224880534.393609,97164660.5859424,107999965.722647,19564473.4732816,151434.611737972,0.0,0.0,135522306.201566 
 01/12  13:00:00,77739318.9708837,225579682.824173,97164660.5859424,107999965.722647,20330383.3912425,84673.1243408346,0.0,0.0,77739318.9708837 
 01/12  14:00:00,14424956.0706499,226045576.440833,97164660.5859424,107999965.722647,20865260.5542386,15689.5780051527,0.0,0.0,14424956.0706499 
 01/12  15:00:00,20060.9904562676,226653949.778757,97164660.5859424,107999965.722647,21489302.1128342,21.3573340820634,0.0,0.0,20060.9904562676 
 01/12  16:00:00,7568.48960760136,236946979.887647,97164660.5859424,107999965.722647,21484245.4560055,5845759.33432476,0.0,4387780.51466552,7568.48960760136 
 01/12  17:00:00,0.0,261614910.287022,97164660.5859424,107999965.722647,20092453.8271239,20632552.9250404,0.0,15498086.329581,0.0 
 01/12  18:00:00,0.0,232816482.856938,97164660.5859424,107999965.722647,18575611.2482814,5157647.77461087,0.0,3861999.18265954,0.0 
 01/12  19:00:00,4298068.39005404,56304455.1204837,21592146.7968761,18359994.17285,16347544.4338289,4769.71692871021,0.0,0.0,4298068.39005404 
 01/12  20:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/12  21:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/12  22:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/12  23:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/12  24:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/13  01:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/13  02:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/13  03:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/13  04:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/13  05:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/13  06:00:00,1442162631.79649,104421756.365511,21592146.7968761,18359994.17285,52520666.5342747,9800852.07345524,0.0,2113320.44067532,1442162631.79649 
 01/13  07:00:00,1375549926.90606,267633064.843754,97164660.5859424,107999965.722647,54598568.2765305,7084372.63926975,0.0,775126.98533016,1375549926.90606 
 01/13  08:00:00,905591219.76284,250149313.70886,97164660.5859424,107999965.722647,25370782.2797718,13665805.0150324,0.0,5866760.08455641,905591219.76284 
 01/13  09:00:00,450040807.00898,229139167.339823,97164660.5859424,107999965.722647,18141475.9922773,5833065.03895654,0.0,0.0,450040807.00898 
 01/13  10:00:00,269329617.447228,230579909.80546,97164660.5859424,107999965.722647,17927374.097503,5042632.06821967,0.0,2410384.64520857,269329617.447228 
 01/13  11:00:00,183203233.849636,224492688.789563,97164660.5859424,107999965.722647,19107454.2061533,220608.274820521,0.0,0.0,183203233.849636 
 01/13  12:00:00,118903117.545602,225107739.657173,97164660.5859424,107999965.722647,19811877.6886839,131235.659899505,0.0,0.0,118903117.545602 
 01/13  13:00:00,59754687.5434604,225382635.054883,97164660.5859424,107999965.722647,20152998.6070218,65010.1392722406,0.0,0.0,59754687.5434604 
 01/13  14:00:00,7785410.84301127,238907158.132784,97164660.5859424,107999965.722647,20109484.5259058,7745621.67907911,0.0,5797291.34503089,7785410.84301127 
 01/13  15:00:00,37004.4715485866,242825877.191783,97164660.5859424,107999965.722647,19488296.0557957,10316689.0286642,0.0,7735465.38296146,37004.4715485866 
 01/13  16:00:00,17460.2073158081,224710945.087002,97164660.5859424,107999965.722647,19546300.2351564,18.5432567876642,0.0,0.0,17460.2073158081 
 01/13  17:00:00,15996.5729609395,224670909.891182,97164660.5859424,107999965.722647,19506266.5918875,16.9907053620216,0.0,0.0,15996.5729609395 
 01/13  18:00:00,0.0,232594961.256162,97164660.5859424,107999965.722647,18353507.3619087,5157707.77837486,0.0,3859425.35849228,0.0 
 01/13  19:00:00,7139260.87853558,56894188.8099476,21592146.7968761,18359994.17285,16329182.6653717,351796.470003204,0.0,257105.126457695,7139260.87853558 
 01/13  20:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/13  21:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/13  22:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/13  23:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/13  24:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/14  01:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/14  02:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/14  03:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/14  04:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/14  05:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/14  06:00:00,0.0,39952140.969726,21592146.7968761,18359994.17285,0.0,0.0,0.0,0.0,0.0 
 01/14  07:00:00,1451718484.29163,105979831.825782,21592146.7968761,18359994.17285,52845473.4772578,10514734.4614464,0.0,2625734.02994279,1451718484.29163 
 01/14  08:00:00,1452815006.7161,100558278.077267,21592146.7968761,18359994.17285,53837076.1397335,6769060.9678076,0.0,0.0,1452815006.7161 
 01/14  09:00:00,1136607445.76009,96483043.4614593,21592146.7968761,18359994.17285,32109838.8499465,16393714.6584802,0.0,7912252.5634278,1136607445.76009 
 01/14  10:00:00,643478804.592725,100998727.981752,21592146.7968761,18359994.17285,18563603.9522385,26615272.6736026,0.0,15641162.661045,643478804.592725 
 01/14  11:00:00,443116985.812545,90117485.4990756,21592146.7968761,18359994.17285,16930908.2916226,21423958.0718836,0.0,11641314.807667,443116985.812545 
 01/14  12:00:00,361203743.976985,80316025.5091382,21592146.7968761,18359994.17285,16249107.2707247,16262640.7369203,0.0,7740211.83871034,361203743.976985 
